Declared County/Area,State
OK,OK
Tulalip ,WA
Colville ,WA
Moapa River ,NV
Pueblo of Santa Clara,NM
Pueblo of Acoma,NM
Fort Belknap ,MT
Red Lake ,MN
Bois Forte Nett Lake ,MN
Sac and Fox ,IA
Los Angeles,CA
Wind River ,WY
Red Cliff ,WI
Colville ,WA
Rosebud ,SD
Lower Brule ,SD
Flandreau ,SD
Crow Creek ,SD
Cheyenne River ,SD
Washington County,RI
Providence County,RI
Newport County,RI
OK,OK
Santo Domingo Pueblo ,NM
Santa Clara Pueblo ,NM
Sandia Pueblo ,NM
San Felipe Pueblo ,NM
Pueblo of Taos,NM
Pueblo of Santa Clara,NM
Pueblo of Santa Ana,NM
Pueblo of San Felipe,NM
Pueblo of Pojoaque,NM
Pueblo of Picuris,NM
Pueblo of Acoma,NM
Mescalero Tribe,NM
Jemez Pueblo ,NM
Isleta Pueblo ,NM
Cochiti Pueblo ,NM
Rockingham County,NH
Hillsborough County,NH
Omaha ,NE
Spirit Lake Reservation,ND
Rocky Boy's ,MT
Fort Peck ,MT
Fort Belknap ,MT
White Earth ,MN
Upper Sioux Community ,MN
Red Lake ,MN
Mille Lacs ,MN
Grand Portage ,MN
Fond du Lac ,MN
York County,ME
Worcester County,MA
Plymouth County,MA
Norfolk County,MA
Middlesex County,MA
Essex County,MA
Bristol County,MA
Nez Perce ,ID
District of Columbia County,DC
New London County,CT
New Haven County,CT
Middlesex County,CT
Mashantucket Pequot ,CT
Litchfield County,CT
Hartford County,CT
Fairfield County,CT
Yurok ,CA
Karuk Reservation,CA
Hoopa Valley ,CA
Campo ,CA
San Carlos ,AZ
Hopi ,AZ
Havasupai ,AZ
Gila River ,AZ
Crow Creek ,SD
Bon Homme Township of,SD
Newport County,RI
Siletz ,OR
Grand Ronde ,OR
Rockingham County,NH
Hillsborough County,NH
York County,ME
Plymouth County,MA
Essex County,MA
New London County,CT
New Haven County,CT
Middlesex County,CT
Litchfield County,CT
Hartford County,CT
Fairfield County,CT
Jefferson,TX
Harris,TX
Warm Springs ,OR
Siletz ,OR
Washoe ,NV
Pyramid Lake ,NV
Rockingham County,NH
Hillsborough County,NH
York County,ME
Worcester County,MA
Plymouth County,MA
Norfolk County,MA
Middlesex County,MA
Essex County,MA
Bristol County,MA
Will,IL
"New London Countyin PMSA 3280,5520",CT
"New Haven Countyin PMSA 1160,5480,8880",CT
"Litchfield Countyin PMSA 1170,1930,3280,8880",CT
"Hartford Countyin PMSA 1170,3280,5440",CT
"Fairfield Countyin PMSA 1160,1930,5760,8040",CT
San Carlos ,AZ
Hopi ,AZ
Gila River ,AZ
Rosebud ,SD
Washington County,RI
Providence County,RI
Newport County,RI
Rockingham County,NH
Hillsborough County,NH
Yellowstone,MT
York County,ME
Worcester County,MA
Plymouth County,MA
Norfolk County,MA
Middlesex County,MA
Essex County,MA
Bristol County,MA
East Baton Rouge,LU
Kiowa Township of,KS
Nez Perce ,ID
New London County,CT
New Haven County,CT
Middlesex County,CT
Litchfield County,CT
Hartford County,CT
Fairfield County,CT
San Carlos ,AZ
Hopi ,AZ
Havasupai ,AZ
Gila River ,AZ
Spirit Lake Reservation,ND
Worcester County,MA
Norfolk County,MA
Middlesex County,MA
Essex County,MA
